station_co,district_n,x,y
1184,1,561059.49,3614452.16
1185,1,561180.82,3614438.49
1216,1,561328.16,3612090.91
1217,1,561939.18,3612023.63
1218,1,562273.2,3612110.52
1219,1,561406.06,3614392.98
1234,1,561412.95,3614097.69
1238,1,561423.75,3614080.58
1239,1,561150,3614463.8
1244,1,561905.83,3614022.59
1251,1,561908.17,3614039.45
1258,1,562429.65,3613980.96
1259,1,562284.76,3612137.2
1260,1,561917.19,3612045.23
1261,1,561397.11,3612103.09
1268,1,561290.11,3613213.04
1269,1,561529.79,3613188.13
1270,1,561829.46,3613153.18
1271,1,562160.27,3613118.66
1272,1,562386.63,3613094.13
1276,1,562083.29,3613145.45
1277,1,561825.67,3613159.37
1288,1,562429.63,3613999.58
1289,1,561392.46,3614303.1
1294,1,562647.25,3613616.82
1295,1,562512.52,3613747.23
1298,1,562479.38,3613557.56
1299,1,562107.98,3613547.14
1300,1,561716.81,3613579.41
1301,1,561292.33,3613614.04
1302,1,562551.65,3613504.36
1370,1,561376.06,3613221.88
1396,1,560374.18,3612647.48
1503,1,561037.53,3614700.46
1506,1,561137.25,3614235.02
1548,1,561081.68,3613235.59
1549,1,561074.71,3615425.17
1702,1,561543.59,3614974.97
1703,1,562839.04,3615131.18
1715,1,561507.8,3614834.73
1716,1,561626.33,3615287.67
1717,1,561601.14,3615282.41
1718,1,561465.51,3614758.97
1740,1,562484.94,3613478.66
1741,1,562445.33,3613155.14
1895,1,560865.02,3615217.57
1896,1,560855.71,3615221.4
2145,1,560361.34,3614146.58
2147,1,560420.54,3613307.06
2149,1,560859.44,3613261.06
2152,1,560947.68,3614472.87
2153,1,560565.25,3614539.27
2161,1,561131.69,3612131.83
2162,1,560833.03,3612165.04
2163,1,560834.84,3612145.09
2164,1,560146.57,3611944.58
2165,1,560597.23,3612149.85
2166,1,560263.32,3611824.78
2250,1,560369.71,3613693.98
2616,1,562511.36,3613468.63
2725,1,560453.8,3611921.38
2735,1,560898.56,3615205.47
2793,1,560376.25,3613186.95
2799,1,560849.94,3613266.77
2800,1,560561.95,3614511.98
2808,1,560406.6,3613315.95
2816,1,560253.81,3612156.53
3830,1,560883.14,3615212.25
4180,1,560456.07,3614483.4
1378,2,559518.51,3616368.82
1379,2,559734.92,3616051.94
1380,2,559728.05,3615696.48
1381,2,559710.02,3615280.09
1382,2,559692.94,3614938.53
1383,2,559821.1,3614692.41
1384,2,559962.2,3614261.13
1385,2,559981.59,3614248.6
1386,2,559866.8,3614671.4
1387,2,559712.59,3614944.97
1388,2,559730.17,3615266.13
1389,2,559746.5,3615685.72
1390,2,559751.76,3616057.47
1391,2,559563.72,3616350.35
1502,2,560542.41,3615797.3
1591,2,559554.6,3615289.13
1592,2,557176.4,3615138.38
1593,2,559033.77,3614241.05
1594,2,557887.61,3614492.96
1625,2,560279.83,3615804.68
2035,2,560439.48,3614620.43
2157,2,560740.29,3615098.19
2160,2,560312.21,3615274.52
2167,2,560837.97,3615531.26
2173,2,559927.76,3616334.91
2174,2,559590.1,3616641.08
2176,2,559125.34,3617056.25
2200,2,560447.25,3615224.23
2201,2,560120.94,3615179.57
2202,2,559976.8,3615182.69
2203,2,559769.76,3615169.47
2204,2,559779.74,3615146.03
2205,2,559550.37,3615306.96
2207,2,559318.79,3615413
2208,2,559293.99,3615406.53
2209,2,559120.98,3615551.39
2210,2,559096.72,3615546.26
2211,2,558862.09,3615759.39
2212,2,558819.32,3615778.53
2213,2,558693.61,3615932.66
2214,2,558707.72,3615893.84
2256,2,560171.21,3614820.68
2273,2,559763.39,3615059.02
2731,2,560901.83,3615407.37
2776,2,559365.68,3616842.5
2798,2,560309.82,3614337.06
2962,2,557828.93,3614988.94
2963,2,558361.02,3614995.37
2964,2,558680.95,3614996.48
2965,2,559241.56,3614998.69
2966,2,559544.9,3614998.95
2967,2,559909.33,3615020.76
2968,2,560159.46,3614794.01
2994,2,559498.64,3615018.85
2995,2,559300.86,3615023.99
2996,2,558674.96,3615026.38
2997,2,558380.45,3615024.31
2998,2,557811.63,3615014.23
2999,2,557544.61,3614879.65
3121,2,557613.4,3615080.7
3122,2,557731.09,3615126.28
3123,2,557757.48,3615118.12
3124,2,558010.71,3615252.41
3125,2,558064.23,3615320.57
3126,2,558125.52,3615342.21
3127,2,558313.66,3615477.01
3262,2,557597.69,3615088.15
3554,2,557305.21,3615011.63
3556,2,557627.15,3614713.06
3560,2,558212.2,3614308.05
3562,2,558692.06,3614256.55
3564,2,559391.64,3614220.9
3566,2,559662.31,3614214.09
3568,2,560233.96,3614181.84
3642,2,558351.12,3615483.66
3644,2,558476.54,3615569.2
3646,2,558531.69,3615581.94
3647,2,558800.97,3615694.06
3648,2,558819.37,3615690.84
1262,11,557784.28,3618186.8
1263,11,557502.62,3618055.02
1264,11,557162.51,3617864.7
1265,11,556980.04,3617513.44
1266,11,557005.57,3617508.05
1267,11,557161.35,3617838.75
1281,11,557484.98,3618026.2
1282,11,557765.7,3618158.42
1296,11,557186.69,3618550.63
1317,11,556690.59,3617936.16
1333,11,555940.59,3617187.93
1334,11,555690.13,3616881.55
1335,11,555545.31,3616490.73
1336,11,555525.92,3615883
1357,11,555543.69,3615958.7
1373,11,555594.75,3616602.97
1374,11,555712.2,3616873.8
1375,11,556003.67,3617223.09
1376,11,556728.07,3617955.45
1377,11,557185.42,3618525.56
1501,11,556957.51,3618992.53
1596,11,556273.09,3616509.79
1599,11,556621.6,3617032.14
1600,11,556788.53,3617266.35
1601,11,556846.67,3617346.17
1602,11,556515.17,3616970.9
1603,11,556136.34,3615556.94
1604,11,556149.46,3615592.71
2178,11,558833.11,3617314.6
2180,11,558421.56,3617682.78
2194,11,558058.88,3618003.26
2215,11,558248.9,3616144.57
2216,11,558203.92,3616139.65
2217,11,558077.9,3616206.2
2219,11,557775.34,3616290.14
2220,11,557538.83,3616316.81
2221,11,557134.14,3616422.24
2222,11,557143.76,3616397.02
2223,11,556881.77,3616683.53
2224,11,556579.6,3616866.28
2225,11,556220.42,3616822.56
2226,11,556286.74,3616433.59
2227,11,556133.67,3616712.76
2228,11,556654.6,3616866.15
2230,11,556876.65,3616710.55
2231,11,557015.83,3616487.85
2233,11,557211.46,3618773.38
2248,11,556660.43,3615892.39
2249,11,556860.85,3616078.44
2251,11,557062.56,3616333.03
2252,11,557043.16,3616331.47
2254,11,556810.53,3616057.09
2255,11,556600.89,3615859.68
2441,11,556671.12,3619279.58
2442,11,557448.09,3618584.95
2444,11,557879.54,3618200.21
2445,11,557838.91,3618222.81
2449,11,558750.73,3617420.65
2491,11,558701.89,3617453.84
2764,11,556504.31,3615878.08
2791,11,557390.21,3618625.74
2802,11,557472.75,3616346.47
2803,11,556394.98,3616177.78
2804,11,556414.77,3616175.68
2805,11,557018.23,3616461.81
2833,11,556391.03,3616889.93
2957,11,557844.56,3616236
3283,11,557114.13,3617409.01
3291,11,558345.58,3617723.57
3292,11,557996.66,3617598.37
3293,11,557997.14,3617580.3
3294,11,557740.19,3617515.61
3295,11,557756.41,3617499.19
3296,11,557540.49,3617487.85
3545,11,555748.15,3615678.92
3546,11,555768.06,3615705.53
3547,11,556321.36,3615683.93
3548,11,556268.73,3615707.57
3549,11,556592.5,3615653.87
3550,11,556656.58,3615679.73
3552,11,556866.94,3615456.99
3573,11,556325.18,3619082.16
3578,11,556713.5,3619146.34
3697,11,557099.53,3617438.63
3707,11,557476.32,3617447.57
3754,11,556074.01,3618962.12
1099,3,563873.97,3612874.74
1100,3,563899.75,3612876.79
1113,3,563875.61,3612634.63
1114,3,565322.54,3612415.75
1116,3,562790.95,3613686.9
1117,3,562848.16,3614206.31
1118,3,562882.85,3614519.61
1119,3,562930.28,3614966.46
1134,3,564405.68,3615798.61
1135,3,564661.41,3615763.46
1137,3,565450.72,3615216.64
1139,3,563178.76,3614081.58
1140,3,563207.05,3613730.99
1150,3,565654.62,3613489.41
1151,3,565778.77,3613945.1
1153,3,562967.08,3612692.03
1158,3,564133.05,3614616.94
1183,3,563203.58,3613702.26
1194,3,565408.76,3614396.98
1195,3,565703.38,3614285.5
1196,3,565698.69,3614313.74
1197,3,565353.05,3614440.29
1201,3,563275.84,3614447.38
1202,3,563628.25,3614504.06
1206,3,564965.25,3614563.36
1207,3,564641.39,3614587.19
1208,3,565366.21,3612436.54
1209,3,565179.92,3611764.83
1210,3,565492.03,3612899.88
1211,3,565763.34,3613896.33
1220,3,562714.85,3612204.42
1221,3,563127.01,3611844.84
1222,3,563416.03,3611589.26
1223,3,563892.54,3611325.57
1224,3,564280.67,3611430.5
1225,3,564657.94,3611503.12
